dis: 3.302, predict: 7, model: efficientnet_b3
dis: 1.778, predict: 1, model: efficientnet_b1
dis: 5.941, predict: 0, model: efficientnet_b3
dis: 1.877, predict: 5, model: efficientnet_b3
dis: 0.842, predict: 2, model: efficientnet_b3
dis: 0.657, predict: 0, model: efficientnet_b1
dis: 2.340, predict: 3, model: efficientnet_b1
dis: 7.843, predict: 0, model: efficientnet_b3
dis: 2.341, predict: 5, model: efficientnet_b1
dis: 3.296, predict: 5, model: efficientnet_b3
dis: 3.639, predict: 7, model: efficientnet_b3
dis: 0.175, predict: 6, model: efficientnet_b1
dis: 0.410, predict: 2, model: efficientnet_b1
dis: 1.354, predict: 5, model: efficientnet_b3
dis: 1.304, predict: 7, model: efficientnet_b3
dis: 0.779, predict: 7, model: efficientnet_b3
dis: 2.327, predict: 2, model: efficientnet_b1
dis: 2.266, predict: 2, model: efficientnet_b1
dis: 1.231, predict: 5, model: efficientnet_b3
dis: 1.463, predict: 3, model: efficientnet_b1
dis: 5.116, predict: 4, model: efficientnet_b1
dis: 3.902, predict: 8, model: efficientnet_b1
dis: 2.145, predict: 3, model: efficientnet_b1
dis: 6.292, predict: 6, model: efficientnet_b3
dis: 6.423, predict: 1, model: efficientnet_b3
dis: 2.482, predict: 2, model: efficientnet_b3
dis: 2.641, predict: 3, model: efficientnet_b3
dis: 1.823, predict: 5, model: efficientnet_b3
dis: 1.840, predict: 3, model: efficientnet_b3
dis: 1.906, predict: 5, model: efficientnet_b1
dis: 6.634, predict: 9, model: efficientnet_b3
dis: 1.404, predict: 6, model: efficientnet_b1
dis: 7.063, predict: 5, model: efficientnet_b3
dis: 0.865, predict: 1, model: efficientnet_b3
dis: 2.260, predict: 2, model: efficientnet_b1
dis: 3.117, predict: 0, model: efficientnet_b3
dis: 2.893, predict: 6, model: efficientnet_b3
dis: 4.735, predict: 2, model: efficientnet_b1
dis: 1.487, predict: 5, model: efficientnet_b1
dis: 5.076, predict: 0, model: efficientnet_b1
dis: 1.583, predict: 2, model: efficientnet_b1
dis: 4.740, predict: 4, model: efficientnet_b1
dis: 3.634, predict: 7, model: efficientnet_b3
dis: 4.097, predict: 9, model: efficientnet_b3
dis: 6.240, predict: 3, model: efficientnet_b3
dis: 6.332, predict: 3, model: efficientnet_b3
dis: 0.908, predict: 3, model: efficientnet_b3
dis: 5.192, predict: 5, model: efficientnet_b3
dis: 5.618, predict: 3, model: efficientnet_b3
dis: 9.802, predict: 5, model: efficientnet_b3
dis: 2.073, predict: 8, model: efficientnet_b3
dis: 2.514, predict: 2, model: efficientnet_b3
dis: 1.529, predict: 5, model: efficientnet_b1
dis: 2.913, predict: 7, model: efficientnet_b3
dis: 2.087, predict: 6, model: efficientnet_b1
dis: 7.026, predict: 9, model: efficientnet_b3
dis: 2.964, predict: 2, model: efficientnet_b3
dis: 3.997, predict: 3, model: efficientnet_b3
dis: 6.989, predict: 4, model: efficientnet_b3
dis: 5.830, predict: 7, model: efficientnet_b3
dis: 1.237, predict: 0, model: efficientnet_b1
dis: 2.877, predict: 3, model: efficientnet_b1
dis: 6.108, predict: 2, model: efficientnet_b3
dis: 3.779, predict: 1, model: efficientnet_b1
dis: 1.205, predict: 8, model: efficientnet_b1
dis: 7.041, predict: 0, model: efficientnet_b1
dis: 4.656, predict: 3, model: efficientnet_b3
dis: 2.400, predict: 3, model: efficientnet_b3
dis: 5.166, predict: 5, model: efficientnet_b3
dis: 0.911, predict: 9, model: efficientnet_b1
dis: 3.165, predict: 6, model: efficientnet_b3
dis: 1.941, predict: 9, model: efficientnet_b1
dis: 0.538, predict: 7, model: efficientnet_b1
dis: 3.257, predict: 4, model: efficientnet_b3
dis: 8.078, predict: 4, model: efficientnet_b3
dis: 1.107, predict: 3, model: efficientnet_b1
dis: 6.080, predict: 5, model: efficientnet_b3
dis: 1.385, predict: 1, model: efficientnet_b1
dis: 2.859, predict: 5, model: efficientnet_b1
dis: 2.711, predict: 6, model: efficientnet_b3
dis: 2.742, predict: 2, model: efficientnet_b3
dis: 2.608, predict: 2, model: efficientnet_b1
dis: 4.297, predict: 1, model: efficientnet_b3
dis: 2.866, predict: 0, model: efficientnet_b1
dis: 1.910, predict: 3, model: efficientnet_b3
dis: 7.833, predict: 6, model: efficientnet_b3
dis: 7.247, predict: 3, model: efficientnet_b3
dis: 1.514, predict: 7, model: efficientnet_b3
dis: 1.374, predict: 8, model: efficientnet_b3
dis: 4.584, predict: 6, model: efficientnet_b3
dis: 3.037, predict: 1, model: efficientnet_b3
dis: 1.786, predict: 8, model: efficientnet_b3
dis: 3.150, predict: 4, model: efficientnet_b3
dis: 5.924, predict: 3, model: efficientnet_b1
dis: 1.267, predict: 8, model: efficientnet_b1
dis: 1.891, predict: 1, model: efficientnet_b3
dis: 7.985, predict: 2, model: efficientnet_b3
dis: 3.352, predict: 5, model: efficientnet_b3
dis: 5.010, predict: 4, model: efficientnet_b3
dis: 4.871, predict: 4, model: efficientnet_b3
dis: 1.487, predict: 7, model: efficientnet_b1
dis: 1.550, predict: 3, model: efficientnet_b3
dis: 3.144, predict: 3, model: efficientnet_b1
dis: 4.104, predict: 6, model: efficientnet_b1
dis: 5.302, predict: 2, model: efficientnet_b1
dis: 4.708, predict: 5, model: efficientnet_b3
dis: 0.891, predict: 9, model: efficientnet_b3
dis: 4.863, predict: 2, model: efficientnet_b1
dis: 5.081, predict: 3, model: efficientnet_b1
dis: 5.768, predict: 3, model: efficientnet_b3
dis: 2.349, predict: 3, model: efficientnet_b3
dis: 0.853, predict: 3, model: efficientnet_b3
dis: 5.908, predict: 3, model: efficientnet_b1
dis: 5.032, predict: 2, model: efficientnet_b1
dis: 6.308, predict: 0, model: efficientnet_b1
dis: 0.699, predict: 1, model: efficientnet_b1
dis: 3.795, predict: 8, model: efficientnet_b1
dis: 2.127, predict: 1, model: efficientnet_b3
dis: 4.262, predict: 5, model: efficientnet_b3
dis: 3.479, predict: 0, model: efficientnet_b1
dis: 6.093, predict: 0, model: efficientnet_b3
dis: 5.498, predict: 5, model: efficientnet_b3
dis: 1.634, predict: 4, model: efficientnet_b3
dis: 5.095, predict: 0, model: efficientnet_b3
dis: 0.638, predict: 3, model: efficientnet_b1
dis: 0.648, predict: 5, model: efficientnet_b1
dis: 2.360, predict: 8, model: efficientnet_b3
dis: 2.682, predict: 7, model: efficientnet_b3
dis: 6.341, predict: 4, model: efficientnet_b3
dis: 0.783, predict: 9, model: efficientnet_b3
dis: 4.413, predict: 5, model: efficientnet_b1
dis: 4.264, predict: 3, model: efficientnet_b3
