dis: 9.177, predict: 7, model: resnet101
dis: 5.077, predict: 3, model: resnet101
dis: 2.959, predict: 0, model: resnet101
dis: 0.282, predict: 6, model: efficientnet_b1
dis: 4.423, predict: 2, model: resnet101
dis: 2.340, predict: 3, model: efficientnet_b1
dis: 4.254, predict: 0, model: resnet101
dis: 4.824, predict: 3, model: resnet101
dis: 1.981, predict: 9, model: resnet101
dis: 4.013, predict: 1, model: efficientnet_b1
dis: 0.630, predict: 3, model: resnet101
dis: 4.456, predict: 3, model: resnet101
dis: 4.238, predict: 5, model: resnet101
dis: 3.481, predict: 7, model: resnet101
dis: 5.674, predict: 0, model: resnet101
dis: 2.371, predict: 3, model: efficientnet_b1
dis: 3.531, predict: 6, model: efficientnet_b1
dis: 3.910, predict: 8, model: efficientnet_b1
dis: 3.451, predict: 6, model: resnet101
dis: 3.153, predict: 2, model: resnet101
dis: 3.821, predict: 5, model: efficientnet_b1
dis: 1.346, predict: 3, model: resnet101
dis: 5.193, predict: 2, model: efficientnet_b1
dis: 1.778, predict: 3, model: resnet101
dis: 4.207, predict: 7, model: efficientnet_b1
dis: 1.786, predict: 9, model: resnet101
dis: 8.172, predict: 3, model: resnet101
dis: 2.641, predict: 5, model: resnet101
dis: 6.194, predict: 1, model: efficientnet_b1
dis: 4.871, predict: 0, model: resnet101
dis: 1.290, predict: 8, model: efficientnet_b1
dis: 5.426, predict: 6, model: resnet101
dis: 6.291, predict: 3, model: resnet101
dis: 0.807, predict: 4, model: efficientnet_b1
dis: 2.796, predict: 3, model: resnet101
dis: 1.942, predict: 3, model: resnet101
dis: 2.939, predict: 3, model: resnet101
dis: 0.344, predict: 5, model: resnet101
dis: 3.720, predict: 3, model: resnet101
dis: 8.952, predict: 5, model: resnet101
dis: 3.509, predict: 5, model: resnet101
dis: 4.288, predict: 3, model: resnet101
dis: 1.605, predict: 7, model: resnet101
dis: 3.984, predict: 9, model: resnet101
dis: 2.706, predict: 2, model: resnet101
dis: 3.697, predict: 3, model: resnet101
dis: 4.507, predict: 4, model: resnet101
dis: 1.106, predict: 1, model: resnet101
dis: 8.349, predict: 7, model: resnet101
dis: 2.877, predict: 3, model: efficientnet_b1
dis: 3.779, predict: 1, model: efficientnet_b1
dis: 5.756, predict: 3, model: resnet101
dis: 9.253, predict: 6, model: efficientnet_b1
dis: 1.154, predict: 3, model: resnet101
dis: 4.291, predict: 3, model: resnet101
dis: 4.545, predict: 8, model: efficientnet_b1
dis: 0.911, predict: 9, model: efficientnet_b1
dis: 1.163, predict: 5, model: resnet101
dis: 4.910, predict: 4, model: resnet101
dis: 5.845, predict: 4, model: resnet101
dis: 5.590, predict: 5, model: efficientnet_b1
dis: 3.979, predict: 2, model: resnet101
dis: 3.397, predict: 9, model: resnet101
dis: 0.973, predict: 2, model: efficientnet_b1
dis: 1.375, predict: 5, model: resnet101
dis: 1.704, predict: 2, model: resnet101
dis: 2.608, predict: 2, model: efficientnet_b1
dis: 4.142, predict: 1, model: resnet101
dis: 2.866, predict: 0, model: efficientnet_b1
dis: 2.622, predict: 3, model: efficientnet_b1
dis: 3.121, predict: 3, model: resnet101
dis: 2.074, predict: 6, model: resnet101
dis: 3.361, predict: 3, model: resnet101
dis: 4.778, predict: 8, model: efficientnet_b1
dis: 6.817, predict: 7, model: resnet101
dis: 4.049, predict: 8, model: efficientnet_b1
dis: 6.695, predict: 0, model: resnet101
dis: 4.019, predict: 2, model: efficientnet_b1
dis: 0.556, predict: 1, model: efficientnet_b1
dis: 2.878, predict: 4, model: resnet101
dis: 0.962, predict: 5, model: efficientnet_b1
dis: 0.781, predict: 4, model: efficientnet_b1
dis: 7.126, predict: 2, model: resnet101
dis: 4.153, predict: 5, model: resnet101
dis: 2.535, predict: 4, model: resnet101
dis: 2.603, predict: 4, model: resnet101
dis: 2.957, predict: 5, model: efficientnet_b1
dis: 1.096, predict: 5, model: efficientnet_b1
dis: 2.427, predict: 0, model: efficientnet_b1
dis: 2.362, predict: 4, model: efficientnet_b1
dis: 4.619, predict: 6, model: resnet101
dis: 2.651, predict: 5, model: resnet101
dis: 2.869, predict: 4, model: efficientnet_b1
dis: 5.081, predict: 3, model: efficientnet_b1
dis: 2.061, predict: 2, model: resnet101
dis: 10.047, predict: 3, model: resnet101
