dis: 2.273, predict: 0, model: efficientnet_b1
dis: 9.881, predict: 7, model: resnet50
dis: 3.974, predict: 3, model: resnet50
dis: 2.561, predict: 3, model: resnet50
dis: 6.699, predict: 2, model: efficientnet_b1
dis: 4.684, predict: 0, model: resnet50
dis: 4.481, predict: 2, model: resnet50
dis: 2.340, predict: 3, model: efficientnet_b1
dis: 3.474, predict: 0, model: resnet50
dis: 0.661, predict: 0, model: efficientnet_b1
dis: 0.740, predict: 3, model: efficientnet_b1
dis: 1.947, predict: 6, model: efficientnet_b1
dis: 2.235, predict: 5, model: resnet50
dis: 2.832, predict: 5, model: resnet50
dis: 2.220, predict: 1, model: resnet50
dis: 1.052, predict: 3, model: resnet50
dis: 1.338, predict: 5, model: resnet50
dis: 2.327, predict: 2, model: efficientnet_b1
dis: 2.815, predict: 4, model: resnet50
dis: 0.507, predict: 3, model: resnet50
dis: 1.367, predict: 0, model: efficientnet_b1
dis: 2.371, predict: 3, model: efficientnet_b1
dis: 1.111, predict: 3, model: efficientnet_b1
dis: 3.420, predict: 8, model: efficientnet_b1
dis: 3.910, predict: 8, model: efficientnet_b1
dis: 1.783, predict: 2, model: efficientnet_b1
dis: 2.995, predict: 4, model: efficientnet_b1
dis: 1.163, predict: 3, model: efficientnet_b1
dis: 2.441, predict: 3, model: efficientnet_b1
dis: 1.758, predict: 7, model: efficientnet_b1
dis: 5.193, predict: 2, model: efficientnet_b1
dis: 1.499, predict: 3, model: resnet50
dis: 3.180, predict: 9, model: resnet50
dis: 5.297, predict: 3, model: resnet50
dis: 4.793, predict: 9, model: efficientnet_b1
dis: 3.564, predict: 5, model: resnet50
dis: 2.913, predict: 0, model: resnet50
dis: 2.822, predict: 3, model: efficientnet_b1
dis: 4.735, predict: 2, model: efficientnet_b1
dis: 4.246, predict: 3, model: resnet50
dis: 3.919, predict: 3, model: efficientnet_b1
dis: 1.294, predict: 0, model: efficientnet_b1
dis: 4.055, predict: 7, model: resnet50
dis: 3.689, predict: 3, model: resnet50
dis: 2.720, predict: 5, model: resnet50
dis: 0.898, predict: 6, model: resnet50
dis: 3.737, predict: 5, model: resnet50
dis: 1.858, predict: 5, model: efficientnet_b1
dis: 4.507, predict: 7, model: resnet50
dis: 2.087, predict: 6, model: efficientnet_b1
dis: 3.459, predict: 3, model: efficientnet_b1
dis: 3.288, predict: 9, model: resnet50
dis: 3.974, predict: 2, model: resnet50
dis: 6.434, predict: 4, model: resnet50
dis: 6.110, predict: 2, model: efficientnet_b1
dis: 1.767, predict: 8, model: resnet50
dis: 12.162, predict: 7, model: resnet50
dis: 1.595, predict: 2, model: resnet50
dis: 3.611, predict: 2, model: efficientnet_b1
dis: 3.543, predict: 5, model: resnet50
dis: 1.283, predict: 2, model: resnet50
dis: 5.044, predict: 5, model: efficientnet_b1
dis: 2.981, predict: 5, model: efficientnet_b1
dis: 3.779, predict: 1, model: efficientnet_b1
dis: 1.205, predict: 8, model: efficientnet_b1
dis: 4.459, predict: 8, model: efficientnet_b1
dis: 1.360, predict: 3, model: resnet50
dis: 4.809, predict: 0, model: efficientnet_b1
dis: 3.127, predict: 4, model: resnet50
dis: 1.607, predict: 3, model: resnet50
dis: 4.664, predict: 5, model: resnet50
dis: 4.998, predict: 5, model: resnet50
dis: 4.545, predict: 8, model: efficientnet_b1
dis: 6.497, predict: 3, model: efficientnet_b1
dis: 1.647, predict: 6, model: resnet50
dis: 1.780, predict: 4, model: resnet50
dis: 4.883, predict: 4, model: resnet50
dis: 9.496, predict: 3, model: efficientnet_b1
dis: 4.777, predict: 5, model: resnet50
dis: 5.294, predict: 2, model: efficientnet_b1
dis: 2.960, predict: 2, model: resnet50
dis: 1.385, predict: 1, model: efficientnet_b1
dis: 2.474, predict: 0, model: resnet50
dis: 0.938, predict: 5, model: resnet50
dis: 1.334, predict: 8, model: resnet50
dis: 3.518, predict: 3, model: resnet50
dis: 2.276, predict: 5, model: resnet50
dis: 2.622, predict: 3, model: efficientnet_b1
dis: 1.132, predict: 2, model: resnet50
dis: 4.396, predict: 6, model: resnet50
dis: 1.396, predict: 3, model: resnet50
dis: 2.201, predict: 7, model: resnet50
dis: 3.606, predict: 0, model: resnet50
dis: 1.438, predict: 5, model: efficientnet_b1
dis: 1.719, predict: 0, model: efficientnet_b1
dis: 0.557, predict: 4, model: resnet50
dis: 1.157, predict: 5, model: efficientnet_b1
dis: 0.962, predict: 5, model: efficientnet_b1
dis: 2.265, predict: 0, model: resnet50
dis: 3.674, predict: 2, model: efficientnet_b1
dis: 1.882, predict: 9, model: efficientnet_b1
dis: 4.282, predict: 3, model: efficientnet_b1
dis: 2.740, predict: 2, model: resnet50
dis: 1.578, predict: 4, model: efficientnet_b1
dis: 2.191, predict: 4, model: resnet50
dis: 2.208, predict: 4, model: resnet50
dis: 2.957, predict: 5, model: efficientnet_b1
dis: 1.185, predict: 5, model: efficientnet_b1
dis: 1.096, predict: 5, model: efficientnet_b1
dis: 2.496, predict: 2, model: resnet50
dis: 2.045, predict: 5, model: resnet50
dis: 0.430, predict: 4, model: resnet50
dis: 1.671, predict: 5, model: resnet50
dis: 5.763, predict: 6, model: resnet50
dis: 3.577, predict: 5, model: resnet50
