dis: 0.898, predict: 0, model: resnet101
dis: 5.647, predict: 2, model: resnet101
dis: 1.999, predict: 2, model: resnet101
dis: 2.753, predict: 6, model: resnet50
dis: 1.127, predict: 6, model: resnet50
dis: 4.091, predict: 0, model: resnet101
dis: 4.824, predict: 3, model: resnet101
dis: 7.471, predict: 3, model: resnet101
dis: 1.981, predict: 9, model: resnet101
dis: 5.511, predict: 1, model: resnet50
dis: 3.036, predict: 6, model: resnet101
dis: 2.235, predict: 5, model: resnet50
dis: 2.832, predict: 5, model: resnet50
dis: 4.353, predict: 9, model: resnet101
dis: 3.481, predict: 7, model: resnet101
dis: 3.233, predict: 5, model: resnet101
dis: 3.067, predict: 5, model: resnet101
dis: 2.584, predict: 0, model: resnet101
dis: 1.488, predict: 3, model: resnet101
dis: 0.717, predict: 8, model: resnet101
dis: 4.982, predict: 6, model: resnet50
dis: 6.774, predict: 2, model: resnet101
dis: 3.561, predict: 4, model: resnet50
dis: 7.091, predict: 3, model: resnet101
dis: 11.056, predict: 5, model: resnet50
dis: 7.192, predict: 3, model: resnet101
dis: 3.127, predict: 5, model: resnet50
dis: 5.127, predict: 7, model: resnet101
dis: 2.667, predict: 7, model: resnet50
dis: 6.297, predict: 9, model: resnet101
dis: 2.581, predict: 1, model: resnet50
dis: 2.816, predict: 8, model: resnet50
dis: 4.447, predict: 2, model: resnet101
dis: 5.905, predict: 3, model: resnet101
dis: 7.710, predict: 0, model: resnet101
dis: 2.796, predict: 3, model: resnet101
dis: 2.720, predict: 5, model: resnet50
dis: 2.939, predict: 3, model: resnet101
dis: 3.720, predict: 3, model: resnet101
dis: 8.952, predict: 5, model: resnet101
dis: 3.509, predict: 5, model: resnet101
dis: 4.288, predict: 3, model: resnet101
dis: 7.055, predict: 5, model: resnet101
dis: 0.949, predict: 6, model: resnet101
dis: 3.999, predict: 3, model: resnet101
dis: 3.697, predict: 3, model: resnet101
dis: 6.945, predict: 2, model: resnet101
dis: 1.767, predict: 8, model: resnet50
dis: 4.443, predict: 0, model: resnet101
dis: 4.816, predict: 2, model: resnet101
dis: 6.191, predict: 4, model: resnet101
dis: 3.860, predict: 5, model: resnet101
dis: 6.254, predict: 5, model: resnet101
dis: 1.413, predict: 8, model: resnet101
dis: 2.471, predict: 8, model: resnet101
dis: 5.074, predict: 0, model: resnet101
dis: 3.949, predict: 6, model: resnet50
dis: 3.127, predict: 4, model: resnet50
dis: 5.285, predict: 3, model: resnet101
dis: 4.998, predict: 5, model: resnet50
dis: 4.291, predict: 3, model: resnet101
dis: 7.877, predict: 3, model: resnet101
dis: 3.116, predict: 9, model: resnet50
dis: 1.647, predict: 6, model: resnet50
dis: 1.392, predict: 5, model: resnet50
dis: 4.402, predict: 3, model: resnet101
dis: 8.138, predict: 3, model: resnet101
dis: 5.160, predict: 2, model: resnet101
dis: 2.474, predict: 0, model: resnet50
dis: 1.704, predict: 2, model: resnet101
dis: 1.128, predict: 4, model: resnet101
dis: 4.142, predict: 1, model: resnet101
dis: 7.182, predict: 6, model: resnet101
dis: 2.276, predict: 5, model: resnet50
dis: 1.730, predict: 3, model: resnet101
dis: 1.090, predict: 4, model: resnet101
dis: 3.121, predict: 3, model: resnet101
dis: 1.456, predict: 8, model: resnet50
dis: 6.668, predict: 8, model: resnet50
dis: 1.003, predict: 5, model: resnet101
dis: 1.981, predict: 2, model: resnet50
dis: 1.560, predict: 8, model: resnet50
dis: 1.875, predict: 1, model: resnet50
dis: 1.024, predict: 7, model: resnet50
dis: 0.099, predict: 7, model: resnet50
dis: 3.915, predict: 4, model: resnet50
dis: 2.265, predict: 0, model: resnet50
dis: 9.407, predict: 2, model: resnet101
dis: 2.256, predict: 9, model: resnet101
dis: 4.807, predict: 3, model: resnet101
dis: 4.519, predict: 5, model: resnet101
dis: 1.891, predict: 0, model: resnet50
dis: 2.045, predict: 5, model: resnet50
dis: 2.384, predict: 5, model: resnet101
dis: 1.671, predict: 5, model: resnet50
