dis: 0.898, predict: 0, model: resnet101
dis: 3.233, predict: 5, model: resnet101
dis: 2.584, predict: 0, model: resnet101
dis: 10.101, predict: 2, model: resnet152
dis: 2.276, predict: 5, model: resnet50
dis: 3.121, predict: 3, model: resnet101
dis: 1.875, predict: 1, model: resnet50
dis: 5.027, predict: 5, model: resnet152
dis: 3.261, predict: 9, model: resnet101
dis: 2.787, predict: 7, model: resnet101
dis: 1.555, predict: 2, model: resnet101
dis: 6.622, predict: 3, model: resnet152
dis: 1.406, predict: 6, model: resnet152
dis: 3.146, predict: 4, model: resnet152
dis: 1.716, predict: 9, model: resnet101
dis: 2.283, predict: 9, model: resnet101
dis: 2.355, predict: 9, model: resnet101
dis: 1.284, predict: 7, model: resnet152
dis: 5.124, predict: 4, model: resnet50
dis: 3.019, predict: 4, model: resnet50
dis: 5.136, predict: 3, model: resnet152
dis: 2.829, predict: 5, model: resnet101
dis: 1.943, predict: 2, model: resnet101
dis: 1.806, predict: 2, model: resnet50
dis: 3.611, predict: 5, model: resnet101
dis: 1.356, predict: 0, model: resnet101
dis: 1.576, predict: 8, model: resnet50
dis: 1.906, predict: 0, model: resnet50
hard voting:98.100, soft voting:98.150
